# Note - 20374160
# ESC - E714011
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 13 Sessions - Saved Wednesday, January 22, 2014
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Voltage Cutoff: 9.54
# Current Cutoff: 105.0
# Temperature Cutoff: 289.7
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage 
True        , True        , True        , True        , True        , True        , True        , True        , False       
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 15988       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 71387       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 7214        , 15          , 0.00        
1.3934      , 20.784      , 11.32       , 0.298       , 0.0         , 82.7        , 8395        , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 29042       , 15          , 0.00        
0.9859      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 37054       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 59008       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 3865        , 15          , 0.00        
1.1426      , 12.941      , 11.32       , 0.298       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 32719       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 84.9        , 9708        , 15          , 0.00        
1.4091      , 36.078      , 11.32       , 0.149       , 0.0         , 83.4        , 36853       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 84.9        , 14480       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
1.0172      , 2.353       , 11.32       , 0.149       , 0.0         , 84.1        , 12865       , 15          , 0.00        
1.0172      , 2.353       , 11.32       , 0.149       , 0.0         , 84.1        , 12996       , 15          , 0.00        
1.0172      , 2.353       , 11.32       , 0.000       , 0.0         , 83.4        , 13004       , 15          , 0.00        
1.0016      , 0.784       , 11.32       , 0.000       , 0.0         , 83.4        , 7031        , 15          , 0.00        
1.0016      , 0.784       , 11.32       , 0.000       , 0.0         , 84.1        , 5954        , 15          , 0.00        
1.0016      , 0.784       , 11.32       , 0.000       , 0.0         , 84.1        , 5879        , 15          , 0.00        
