	28	15	617	188
	24	39	608	188
	8	32	615	190
	15	28	615	190
	15	28	604	196
	12	30	598	188
	23	17	604	191
	24	35	604	188
	7	31	591	188
	15	40	604	191
	28	25	614	192
	24	28	598	184
	7	30	600	190
	24	31	600	191
	30	31	614	190
	23	23	599	191
	24	35	611	179
	15	19	615	190
	30	16	609	191
	19	12	608	176
	19	28	615	190
	19	31	609	188
	23	41	600	176
	19	24	600	185
	31	24	607	193
	16	33	608	191
	24	17	607	174
	12	28	614	188
	17	35	609	195
	19	22	609	191
	15	19	611	191
	24	33	608	192
	25	15	614	183
	17	25	588	192
	3	28	608	190
	9	32	611	183
	24	32	614	195
	23	28	619	188
	24	31	600	192
	22	28	611	192
	19	24	599	188
	28	17	595	185
	28	28	617	179
	19	31	615	193
	8	24	604	191
	23	28	616	188
	27	31	606	188
	24	38	615	193
	23	24	614	195
	19	28	598	176
	11	31	611	188
	19	28	614	175
	23	19	612	179
	28	24	611	187
	28	15	595	179
	22	35	600	185
	19	27	615	179
	24	24	593	187
	22	30	611	175
	23	28	604	172
	16	16	600	190
	15	20	598	190
	25	19	604	188
	28	28	606	191
	19	16	600	183
	30	32	609	192
	16	28	609	180
	24	30	595	188
	12	17	615	188
	28	11	608	188
	25	19	607	191
	24	33	615	196
	22	24	619	191
	15	31	604	196
	6	35	607	176
	7	16	617	179
	28	28	604	176
	31	33	606	184
	23	35	595	185
	12	31	608	184
	28	19	608	190
	33	31	615	183
	17	22	611	184
	32	35	608	198
	28	33	604	184
	19	31	608	192
	8	33	592	179
	24	24	588	176
	19	40	612	187
	19	22	598	191
	24	19	611	191
	24	7	609	183
	20	23	611	183
	15	35	608	184
	25	31	600	192
	17	35	608	188
	27	39	615	193
	19	35	606	195
	28	35	604	179
	28	15	609	195
	19	23	608	192
	8	30	591	195
	19	28	609	184
	15	28	600	176
	19	38	620	190
	22	23	620	192
	15	31	606	174
	15	31	614	191
	19	31	614	188
	31	30	609	176
	23	8	607	180
	25	33	608	190
	25	20	609	188
	19	31	600	188
	14	25	608	191
	24	28	608	180
	7	25	600	193
	17	33	591	188
	16	24	608	192
	25	12	611	188
	24	27	612	190
	16	36	606	192
	7	30	600	179
	17	23	606	191
	15	38	604	176
	23	32	611	184
	19	38	615	177
	24	23	616	183
	30	31	593	190
	12	33	611	182
	20	27	608	192
	32	31	622	190
	15	24	600	195
	6	38	603	192
	20	22	611	191
	22	20	607	183
	23	28	608	192
	17	27	607	187
	4	28	604	195
	15	19	611	182
	23	31	611	191
	12	31	606	192
	-1	28	620	188
	24	28	614	192
	19	30	608	190
	24	19	617	191
	22	22	608	195
	12	38	607	182
	12	23	606	179
	20	30	608	185
	7	23	617	187
	24	31	598	184
	20	22	600	190
	19	15	608	179
	24	24	591	199
	24	19	595	176
	19	36	607	192
	14	19	611	177
	22	35	600	184
	12	41	601	184
	19	31	611	192
	28	11	615	192
	20	28	599	187
	12	24	612	184
	25	19	608	188
	30	15	604	177
	24	24	591	191
	19	28	611	184
	22	22	604	192
	31	22	615	188
	15	25	607	190
	25	31	615	192
	19	31	595	192
	12	28	614	195
	6	27	615	188
	24	19	598	190
	22	28	600	195
	16	28	598	179
	8	33	604	188
	19	28	612	178
	9	38	611	188
	15	25	593	176
	25	30	611	193
	30	24	611	177
	12	28	604	192
	17	30	615	188
	15	35	599	179
	19	15	596	192
	30	24	608	193
	28	28	600	193
	22	31	600	196
	23	31	600	192
	27	24	604	192
	28	30	598	185
	19	28	603	180
	23	46	611	191
	16	23	608	191
	22	28	614	184
	14	28	598	191
	14	35	595	184
	11	39	607	190
	24	22	615	180
	12	19	593	191
	28	30	593	192
	9	44	599	182
	12	28	600	175
	6	15	615	182
	30	30	608	192
	24	27	604	179
	24	39	601	177
	14	31	611	191
	19	28	606	195
	24	19	603	184
	24	31	616	193
	24	24	608	191
	23	28	615	175
	28	32	600	192
	30	22	609	192
	24	28	616	195
	28	32	615	192
	15	41	623	192
	22	31	608	188
	23	28	614	192
	24	24	620	188
	22	28	604	192
	24	28	608	188
	23	23	598	195
	22	31	600	190
	25	35	604	169
	19	35	611	188
	23	38	615	195
	27	32	615	176
	15	9	620	190
	19	7	614	190
	11	30	616	192
	12	24	603	191
	23	19	609	195
	6	31	606	192
	31	24	614	195
	3	28	619	184
	27	31	615	187
	24	19	604	192
	15	31	612	192
	24	35	600	191
	12	17	600	179
	25	7	607	184
	30	39	606	184
	25	30	615	199
	15	15	598	192
	11	39	611	183
	0	35	603	192
	18	35	623	184
	12	39	615	192
	16	15	614	184
	19	35	598	190
	28	23	608	188
	19	38	617	192
	7	22	609	192
	25	3	609	196
	14	30	614	176
